Wall time,Step,Value
1745931768.1862614,244,-0.6953465342521667
1745931978.9068391,465,-0.6964190006256104
1745932065.7769673,556,-0.7930395007133484
1745932163.0300014,658,-0.7495962977409363
1745932301.919002,804,-0.776879072189331
1745932513.0255306,1026,-0.9910321235656738
1745932613.7361083,1132,-0.8403457999229431
1745932924.5849562,1458,-0.8251163363456726
1745932958.7892761,1494,-0.8319289088249207
1745932974.130123,1510,-0.7912076711654663
1745933026.472989,1565,-0.8368468284606934
1745933383.401472,1940,-0.8223872184753418
1745933402.6068072,1960,-0.7984956502914429
1745933949.624785,2503,-0.7474443316459656
1745934133.1230373,2693,-0.7156827449798584
1745934156.2374175,2717,-0.7309068441390991
1745934506.197109,3083,-0.7383583784103394
1745934657.5225158,3241,-0.7705870866775513
1745934680.5806124,3265,-0.7367650866508484
1745934968.7848141,3566,-0.7947393655776978
1745935499.9282994,4121,-0.8670614957809448
1745935586.9131181,4181,-0.7713526487350464
1745935953.6592805,4564,-0.7394217252731323
1745936456.9114532,5090,-0.7330636978149414
1745936549.633578,5187,-0.8269792795181274
1745936621.2830956,5262,-0.8222441077232361
1745936652.8472645,5295,-0.7937188148498535
1745936718.0347078,5362,-0.7764901518821716
1745936806.6646655,5454,-0.7962023615837097
1745937009.9188035,5667,-0.795592188835144
1745937167.7085984,5832,-0.7196902632713318
1745937200.1306932,5866,-0.7868469953536987
1745937310.0254247,5981,-0.8007809519767761
1745937325.3122635,5997,-0.7824749946594238
1745937378.8019192,6053,-0.7805954217910767
1745937623.1676116,6279,-0.7875580787658691
1745937675.5572731,6334,-0.8415321707725525
1745937900.5407214,6569,-0.9000455141067505
1745938054.2126527,6730,-0.8018202781677246
1745938168.4540234,6850,-0.8105198740959167
1745938302.7545333,6991,-0.78653883934021
1745938553.066117,7253,-0.8266943693161011
1745938728.0362964,7436,-0.9364230632781982
1745938754.6588929,7464,-0.7899259328842163
1745938926.3482864,7644,-0.7463266253471375
1745939008.439496,7730,-0.8503386378288269
1745939253.3658612,7986,-0.744816243648529
1745939385.3347075,8122,-0.7687267065048218
1745939546.4879158,8291,-0.7675763964653015
1745939821.4714231,8548,-0.6945478320121765
1745939827.1892562,8554,-0.7049738764762878
1745939888.623945,8618,-0.879094123840332
1745939927.8295815,8659,-0.7969135046005249
1745939961.3689904,8694,-0.7838521003723145
1745939990.1005108,8724,-0.805537223815918
1745940016.7838395,8752,-0.7730112075805664
1745940039.6585324,8776,-0.8426570892333984
1745940041.5312963,8778,-0.7087103724479675
1745940399.2282128,9152,-0.9000140428543091
1745940494.8730772,9252,-0.7376295924186707
1745940532.30496,9291,-0.7210478186607361
1745940566.637251,9327,-0.7180458903312683
1745940597.167393,9359,-0.7152018547058105
1745940933.872148,9712,-0.735942542552948
1745940972.9632905,9753,-0.7233086824417114
1745941053.4165595,9837,-0.7705709934234619
1745941107.667502,9894,-0.9145442843437195
1745941129.7925894,9917,-0.7613939046859741
1745941160.4427376,9949,-0.7733108401298523
1745941188.9723337,9979,-0.8207699656486511
1745941268.8312457,10063,-0.8230417966842651
1745941294.607291,10090,-0.7968363761901855
1745941324.1003609,10121,-0.808348536491394
1745941390.7731059,10191,-0.7714604139328003
1745941661.4321837,10445,-0.787003219127655
1745941731.1809416,10518,-0.7887808680534363
1745941850.2652469,10643,-0.7622396349906921
1745941852.154501,10645,-0.7512922286987305
1745941911.2026098,10707,-0.7889635562896729
