Wall time,Step,Value
1746631341.5416508,172,-278.1465148925781
1746631521.4699147,244,-164.32229614257812
1746631558.9379895,259,-151.20797729492188
1746631915.1067672,402,47.073368072509766
1746632072.334876,465,144.01258850097656
1746632183.7333906,510,240.5639190673828
1746632298.1452632,556,270.3982238769531
1746632397.0308697,596,-892.3678588867188
1746632550.843615,658,464.6504211425781
1746632912.9741988,804,660.83251953125
1746632983.0065825,866,682.7555541992188
1746633097.5528257,1026,758.8046875
1746633105.3349607,1037,922.9395141601562
1746633172.6177707,1132,1002.56591796875
1746633209.4589584,1184,1074.048095703125
1746633271.4129326,1271,1252.4671630859375
1746633373.6430247,1417,1477.563232421875
1746633402.5221007,1458,1563.9920654296875
1746633427.7071638,1494,1530.3367919921875
1746633438.2690046,1510,1618.8963623046875
1746633463.6926508,1548,1122.9847412109375
1746633475.7223516,1565,1638.4951171875
1746633546.350246,1670,1842.2139892578125
1746633736.835801,1940,2133.739990234375
1746633751.0318372,1960,2032.6920166015625
1746634086.3271096,2436,2810.452392578125
1746634089.5955815,2441,2905.71337890625
1746634104.0919414,2462,2986.28076171875
1746634132.6236448,2503,2774.24755859375
1746634182.9451447,2577,3219.066650390625
1746634229.5833983,2643,3214.386474609375
1746634258.365977,2684,3100.30615234375
1746634264.8649998,2693,3280.472900390625
1746634275.1427915,2708,3142.530517578125
1746634281.4264705,2717,3415.9990234375
1746634317.2219787,2768,3500.632568359375
1746634458.82017,2973,3882.08642578125
1746634533.650321,3083,3722.00439453125
1746634548.5750394,3104,3721.890380859375
1746634549.2331874,3105,3722.74853515625
1746634577.5725255,3145,3994.859130859375
1746634628.3304658,3217,3743.3125
1746634645.1293705,3241,3946.531005859375
1746634661.795552,3265,3739.773681640625
1746634725.1566944,3356,3626.5927734375
1746634823.9144652,3500,4341.46044921875
1746634869.3739917,3566,3168.820068359375
1746634893.5893304,3600,4099.52490234375
1746634904.9336019,3616,4329.1220703125
1746634931.783538,3654,4001.523193359375
1746634941.623789,3668,4388.15771484375
1746634943.7232754,3671,3925.8837890625
1746634972.2056942,3712,4204.7548828125
1746635021.2460246,3782,4407.9892578125
1746635067.9799783,3848,3927.15283203125
1746635115.5523527,3915,4571.64599609375
1746635191.1034925,4023,4502.05810546875
1746635251.8753712,4109,4138.27001953125
1746635260.1424208,4121,3204.0078125
1746635306.4522092,4181,4710.8896484375
1746635314.2445917,4192,4496.2412109375
1746635338.6318512,4227,3198.889404296875
1746635402.7847085,4318,4916.55126953125
1746635409.6812031,4328,4650.55615234375
1746635575.0926886,4564,4521.841796875
1746635663.2686946,4690,4155.14453125
1746635763.0409477,4832,4507.7890625
1746635766.0235655,4836,4658.552734375
1746635943.9281478,5090,4910.685546875
1746635973.4675925,5132,5065.60791015625
1746635976.5083528,5136,4193.07177734375
1746636012.2471545,5187,3674.663330078125
1746636021.328005,5200,3941.267333984375
1746636065.2830656,5262,4939.67138671875
1746636088.3245125,5295,5306.4755859375
1746636135.4147768,5362,4995.2900390625
1746636199.6131928,5454,5340.70458984375
1746636345.8345978,5667,5653.01171875
1746636460.732561,5832,5674.69384765625
1746636483.0124047,5866,5928.9580078125
1746636492.1687865,5879,4732.04736328125
1746636564.0467095,5981,5736.826171875
1746636575.0440533,5997,5918.6630859375
1746636614.4150548,6053,5826.2763671875
1746636671.6467617,6138,5727.001953125
1746636732.5976806,6225,4438.47021484375
1746636776.2148657,6279,6034.92919921875
1746636814.564004,6334,6064.720703125
1746636838.9544113,6369,4523.5625
1746636978.9275072,6569,5205.4794921875
1746636993.6265678,6590,5597.5078125
1746636999.8691294,6599,4724.876953125
1746637090.9751968,6730,5931.357421875
1746637104.8956969,6750,6343.35400390625
1746637174.3785338,6850,4995.8779296875
1746637222.6937227,6919,6400.59912109375
1746637274.1737835,6991,6136.58837890625
1746637277.655842,6996,5750.02685546875
1746637317.6404686,7054,5783.43212890625
1746637455.9058588,7253,5649.23388671875
1746637582.6102061,7436,5999.84619140625
1746637602.518903,7464,6736.18505859375
1746637605.3022294,7468,5440.900390625
1746637656.7119544,7543,5256.013671875
1746637725.0949292,7644,6666.1943359375
1746637782.5205922,7727,5812.8974609375
1746637784.6918612,7730,5663.9833984375
1746637802.8838103,7756,5990.83056640625
1746637829.3392296,7794,5140.2822265625
1746637849.0015867,7821,6008.6328125
1746637963.662271,7986,6488.04736328125
1746638057.3277965,8122,6827.7412109375
1746638175.8655336,8291,6176.50439453125
1746638356.034878,8548,6347.5771484375
1746638359.8893485,8554,6727.875
1746638404.193149,8618,4629.48291015625
1746638432.965501,8659,5651.5927734375
1746638457.1607258,8694,6116.92724609375
1746638476.928927,8724,6180.369140625
1746638495.3823075,8752,6871.5859375
1746638512.5635133,8776,6066.70947265625
1746638513.9396691,8778,6768.32763671875
1746638545.4244275,8823,6954.67919921875
1746638552.334909,8833,6712.10986328125
1746638578.466519,8870,5857.50732421875
1746638583.4597285,8877,6395.87158203125
1746638711.0286555,9058,5498.07373046875
1746638755.1852524,9121,5663.26806640625
1746638776.8803866,9152,5278.79931640625
1746638846.9815168,9252,6876.216796875
1746638873.570095,9291,7140.0712890625
1746638897.6837351,9327,6666.92626953125
1746638918.4738173,9359,6528.86474609375
1746639046.299656,9547,6644.19580078125
1746639132.8003886,9671,6820.498046875
1746639161.2517667,9712,6549.52685546875
1746639188.7042816,9753,6405.8095703125
1746639189.4078774,9754,6681.3857421875
1746639247.5589015,9837,6710.21728515625
1746639268.6338553,9867,7211.65673828125
1746639287.8304472,9894,4992.49755859375
1746639303.877174,9917,4990.30322265625
1746639325.770703,9948,5376.66748046875
1746639326.4729247,9949,6119.59765625
1746639343.5954676,9973,6775.04931640625
1746639347.9502153,9979,6975.5927734375
1746639357.5932734,9993,6950.72412109375
1746639406.869779,10063,5589.80126953125
1746639425.5330467,10090,6694.08984375
1746639447.6544454,10121,6563.16748046875
1746639459.0566628,10138,6914.66064453125
1746639494.2944613,10191,7063.62060546875
1746639600.134575,10342,6930.4130859375
1746639602.2700539,10345,7192.2978515625
1746639637.3797364,10395,5758.36328125
1746639678.4110153,10445,6786.89599609375
1746639687.7588758,10458,5982.39501953125
1746639717.7991734,10501,5721.52880859375
1746639729.7923295,10518,6962.60302734375
1746639760.0952504,10561,6267.15283203125
1746639815.2444158,10643,7142.81689453125
1746639816.558915,10645,7005.30322265625
1746639860.1972508,10707,6916.57861328125
1746639872.0334446,10724,7442.796875
1746640080.283501,11023,6008.58544921875
1746640089.3516152,11036,4864.47705078125
